SYMBOL	gs_name
UBE2E2	G3_mono_macro
IFI30	G3_mono_macro
GCA	G3_mono_macro
ETS2	G3_mono_macro
MPP1	G3_mono_macro
DENND5A	G3_mono_macro
GAA	G3_mono_macro
FCGR3A	G3_mono_macro
ITGAX	G3_mono_macro
CTTNBP2NL	G3_mono_macro
PLOD1	G3_mono_macro
DOCK5	G3_mono_macro
MCTP1	G3_mono_macro
ENG	G3_mono_macro
LY96	G3_mono_macro
LGMN	G3_mono_macro
BRI3	G3_mono_macro
CPPED1	G3_mono_macro
ATP6V0A1	G3_mono_macro
LYN	G3_mono_macro
HMOX1	G3_mono_macro
PAK1	G3_mono_macro
CEBPB	G3_mono_macro
OSM	G3_mono_macro
GAB2	G3_mono_macro
CCRL2	G3_mono_macro
DBNDD2	G3_mono_macro
HEBP1	G3_mono_macro
TNFAIP8L2	G3_mono_macro
GNB4	G3_mono_macro
MCOLN1	G3_mono_macro
TUBB6	G3_mono_macro
GRINA	G3_mono_macro
ALCAM	G3_mono_macro
FADS1	G3_mono_macro
SYK	G3_mono_macro
CTSH	G3_mono_macro
ACTN1	G3_mono_macro
SGK1	G3_mono_macro
PLXND1	G3_mono_macro
SMCO4	G3_mono_macro
IDH1	G3_mono_macro
GLUL	G3_mono_macro
BCL2A1	G3_mono_macro
SCARB2	G3_mono_macro
ADAM15	G3_mono_macro
RNF135	G3_mono_macro
SERPINB6	G3_mono_macro
ACSL1	G3_mono_macro
ITGA5	G3_mono_macro
SLC2A6	G3_mono_macro
LAIR1	G3_mono_macro
TCEAL4	G3_mono_macro
SIRPB1	G3_mono_macro
PHACTR1	G3_mono_macro
BTK	G3_mono_macro
GRN	G3_mono_macro
NPC2	G3_mono_macro
IRF5	G3_mono_macro
SULF2	G3_mono_macro
NEK6	G3_mono_macro
RCBTB2	G3_mono_macro
TTYH3	G3_mono_macro
APP	G3_mono_macro
C10orf128	G3_mono_macro
SPG21	G3_mono_macro
SLC38A6	G3_mono_macro
NADK	G3_mono_macro
AVPI1	G3_mono_macro
SPINT2	G3_mono_macro
GNA15	G3_mono_macro
ARSB	G3_mono_macro
MFSD1	G3_mono_macro
SLC43A3	G3_mono_macro
CD40	G3_mono_macro
CORO1C	G3_mono_macro
CPQ	G3_mono_macro
P2RX7	G3_mono_macro
SNX10	G3_mono_macro
CD300A	G3_mono_macro
